Irires,English Translation
afims,1_one
aɾfik,2_two
aɾfum,3_three
tutɔhuɾ,4_four
sintʃ,5_five
tuɾɛms,6_six
tuɾak,7_seven
sintʃ tuɾɔm,8_eight
sintʃ tɔhuɾ,9_nine
ciɾik,10_ten
ciɾik aɾfik,11_twenty
ciɾik sintʃ,12_fifty
utin,13_onehundred
utin afims,14_onethousand
mahɔi,15_year
tɛnɛn,16_right
mɛɾʔʰ,17_left
idif,18_i
ɡɛɡɛf,20_webothincl
mɛmɛf,22_weallincl
bɔu,23_thou
ɡiɔkʰ,24_youboth
jɔi,25_youall
ifɔ,26_heshe
ɾɛi,27_theyall
ɡasikʰ,28_theyboth
ɡuɾ,29_nonot
mɛndɛɾ,30_what
awɛɾ,31_who
ɾɛkaf,32_where
mɔiwah,33_when
tɛnaf,34_how
makɛfɛi,35_this
makiɛi,36_that
tʰukun,37_and
aħ ɡit,38_above
aħ mɔu,39_below
aħ afɛitʃ,40_ininside
aħ,41_at
ɾɛkiɛi,42_if
dewitʃ,43_head
dɛwiɾfɛitʃ,44_hair
ditɛt,45_eye
decuŋ,46_nose
dicui,47_ear
duh,48_mouth
dint,49_tongue
difɔn,50_tooth
dɪtim,51_hand
diɡun,52_shoulder
duɾpʰ,53_neck
diʤimek,54_back
dipɛkʰ,55_leg
diɡuf,56_blood
ɔɾ,57_bone
difɔtʃ,58_skin
dituɛn,59_belly
adwɔtʃ,60_intestines
dimik,61_breast
difɔɾ,62_liver
mɛtʃ,63_dog
mɛm,64_bird
mɔŋɡɔmɛi,65_fish
mɔŋɡɔs,66_snake
mɛfɛu,67_worm
matʃ,68_louse
mɛsɔu,69_rat
mɛcɔiɡɛn,70_spider
mɛsbiɾ,71_mosquito
afɔi,72_egg
aɾɛk,73_tail
afambɾ,74_wing
afɛitʃ,75_feather
isɔskʰ,76_person
afɛs,77_man
afai,78_woman
as,79_child
difapʰ,80_name
dicɛu,81_mother
dikɛu,82_father
dɛhin,83_husband
dɛhan,84_wife
mɔdan,85_day
mɔt,86_night
mastʰ,87_moon
mɛtuɾ,88_star
mɔwakʰ,89_sky
mɛi,90_water
mɛɾɛn,91_lake
mɛi,92_sea
maħ,93_fire
maħɔw,94_smoke
mɛtwɛi,95_ash
mɔŋɡɔm,96_stone
mɔu,97_earthsoil
mɛtuwɛi,98_dust
mɛwis,99_sand
mɔtʃ,100_rain
mɔwakʰ,101_cloud
mɔfen,102_wind
mɔswaitʃ,103_fog
mɔcɔi,104_thunder
muŋɡɔɾafɾet,105_lightning
afɔɡ,106_meatflesh
mɛus,107_salt
afɛis,108_fatgrease
afɛu,109_fruit
mɔwah,110_woodsforest
afɔu,111_root
acitʰ,112_branch
afɛi,113_leaf
mɛɾ,114_wood
mɔfɔɾm,115_grass
afɔk,116_flower
mɛstif,117_thatchroof
moodʰ,118_house
mɛfun,119_rope
mɔifɛn,120_needle
mɛɾɔtʃ,121_roadpath
ahitʰ,122_black
eus,123_white
aknɛɾ,124_red
afɾah,125_green
ɔmbɾi,126_yellow
atɛfɔn,127_big
aŋɡijaus,128_small
aɡɔw,129_long
aʤum,130_short
awum,131_thick
aniwɛs,132_thin
ɔhcuk,133_narrow
afɛifaɾ,134_wide
afai,135_sharp
amui,136_bluntdull
difɔsħai,137_shyashamed
ɔn,138_old
disun,139_painfulsick
atʃmapʰ,140_good
difat,141_bad
ħiɛɾħ,142_correcttrue
asimsik,143_dirty
amp,144_rotten
ɔisɛk,145_all
akum,146_heavy
mɔisam,147_far
audʰ,148_near
afmɛmtɛkaɾ,149_warm
difufun,150_cold
ahiɾɛs,151_dry
ataf,152_wet
afan,153_new
amɛi,154_other
dinin,155_come
ditʃ,156_walk
ɛɾ,157_grow
dut,158_stand
dikɛɾ,159_sit
diciɾ,160_fall
diɛh,161_liedown
dɔkutʃ,162_turn
dukʰ,163_climb
diɾ,164_swim
ɔf,165_flyverb
ditʰ,166_throw
ditambus,167_hide
ditis,168_chew
dit,169_eat
ditʃ,170_drink
diskʰ,171_bite
duf,172_suck
dɛfɛnɔkʰ,173_yawn
diciɾf,174_spit
dɛsiɛh,175_dream
diɛh,176_sleep
duif,177_live
diu,178_die
desah,179_kill
dikʰ,180_see
dikʰ,181_hear
dims,182_sniffsmell
dinak,183_know
distɔh,184_think
dititiu,185_laugh
diwius,186_cry
duf,187_blow
diku,188_burn
ai,189_flow
desiɾ,190_sew
dutʃ,191_pound
dimkʰ,192_hit
dɔɡɔu,193_cut
dɔɡɔudɔɡɔu,194_split
dɛwan,195_dig
dutʃ,196_hunt
dɛɾusutʃ,197_hold
dimas,198_fear
ditɔɡʰ,199_count
dedɔifɛn,200_breathe
dusis,201_vomit
dɛhas,202_tieup
dɛwitʰ,203_squeeze
astitʃ,204_swell
dicɔtʰ,205_say
diɛh,206_scratch
dudutʃ,207_stab
distʃ,208_buy
dukuɾakʰ,209_steal
dutuɾ,210_choose
duh,211_plant
dicɛmɔk,212_cook
dif,213_shoot
din,214_work
dɛpaɾ,215_open
